Projeto_ID,Projeto_name,Duracao_meses,Orcamento_R$,Tamanho_da_Equipe,RecursosDisponiveis,cargoFuncionario,Sucesso
PROJ_0078,Sistema de Estoque Mobile,3.2,135636.61,2,médio,Gerente de Projetos,1
PROJ_0079,Portal do Cliente,4.1,89946.59,2,médio,Desenvolvedor Senior,1
PROJ_0080,Dashboard Analytics,5.5,152893.22,2,médio,Especialista em Dados,1
PROJ_0081,Sistema de RH,5.1,176979.94,2,baixo,Gerente de Projetos,1
PROJ_0082,Dashboard Analytics,16.0,1185614.3,4,baixo,Gerente de Desenvolvimento,1
PROJ_0083,Portal Interno,7.1,210496.47,2,médio,Especialista em Dados,1
PROJ_0084,Sistema CRM,3.6,81660.45,2,baixo,Consultor Técnico,1
PROJ_0085,Plataforma IoT,11.9,855972.7,5,médio,Analista de Sistemas,1
PROJ_0086,Sistema de RH V2,4.3,182654.4,3,médio,Líder Técnico,1
PROJ_0087,Portal de Documentos,2.9,70890.62,2,baixo,Tech Lead,1
PROJ_0088,App Mobile de Vendas Advanced,3.6,93372.26,2,médio,Consultor Técnico,0
PROJ_0089,App de Controle de Acesso,4.8,228118.74,2,baixo,Analista de Sistemas,1
PROJ_0090,App Mobile de Vendas,6.9,226563.05,2,alto,Coordenador de TI,1
PROJ_0091,Portal de Treinamento Mobile,3.7,91052.38,2,médio,Coordenador de TI,1
PROJ_0092,Plataforma IoT,3.2,92405.93,2,médio,Gerente de Desenvolvimento,1
PROJ_0093,Sistema de Estoque,8.7,368005.22,2,médio,Líder Técnico,1
PROJ_0094,App de Delivery,3.3,75848.23,2,alto,Gerente de Projetos,1
PROJ_0095,Sistema de Manutenção Web,5.6,136839.44,2,baixo,Líder Técnico,0
PROJ_0096,Portal de Relatórios,4.4,178623.14,2,alto,Arquiteto de Software,1
PROJ_0097,Sistema de RH,6.4,254355.18,2,baixo,Tech Lead,0
PROJ_0098,App de Delivery Plus,4.5,141400.74,2,alto,Arquiteto de Software,1
PROJ_0099,Sistema de Qualidade,5.6,210095.42,2,alto,Coordenador de TI,1
PROJ_0100,Sistema de Gestão Empresarial,4.4,141810.94,2,médio,Líder Técnico,1
PROJ_0101,Sistema de Estoque Plus,3.6,107896.21,2,baixo,Consultor Técnico,1
PROJ_0102,Portal Interno Pro,4.2,178981.32,2,médio,Coordenador de TI,0
PROJ_0103,Sistema de Compras Pro,4.1,132666.72,2,médio,Analista de Sistemas,1
PROJ_0104,Sistema de Qualidade,3.0,89217.92,2,alto,Arquiteto de Software,0
PROJ_0105,Sistema de Manutenção,17.9,1796382.52,6,médio,Consultor Técnico,1
PROJ_0106,Sistema de Gestão Empresarial,5.9,251238.42,2,baixo,Consultor Técnico,0
PROJ_0107,Sistema CRM,5.6,195695.28,2,baixo,Coordenador de TI,1
PROJ_0108,Sistema de Compras V2,9.0,731783.48,4,médio,Coordenador de TI,0
PROJ_0109,Portal de Documentos,2.2,51630.51,2,médio,Arquiteto de Software,1
PROJ_0110,Sistema CRM,2.8,84048.42,2,médio,Tech Lead,1
PROJ_0111,Sistema de RH,4.7,211376.92,2,médio,Arquiteto de Software,1
PROJ_0112,Plataforma de Vendas,3.7,91780.48,2,baixo,Gerente de Projetos,1
PROJ_0113,Portal do Cliente,3.8,128615.11,2,médio,Arquiteto de Software,1
PROJ_0114,App Mobile de Vendas Plus,3.1,153789.87,2,médio,Arquiteto de Software,1
PROJ_0115,Dashboard Analytics,3.2,142251.96,3,médio,Consultor Técnico,1
PROJ_0116,Sistema de Backup,3.8,78081.7,2,alto,Gerente de Projetos,1
PROJ_0117,Sistema de Estoque Web,3.1,98252.61,2,alto,Analista de Sistemas,1
PROJ_0118,Sistema de Produção Pro,11.6,405267.8,2,baixo,Líder Técnico,1
PROJ_0119,Sistema de Produção Plus,6.2,298678.16,2,médio,Gerente de Projetos,1
PROJ_0120,Sistema CRM,10.0,357625.38,2,médio,Gerente de Projetos,1
PROJ_0121,Sistema de Compras,5.9,182388.69,2,médio,Desenvolvedor Senior,0
PROJ_0122,Plataforma IoT Mobile,4.5,203417.17,3,médio,Gerente de Desenvolvimento,1
PROJ_0123,Sistema de Manutenção,5.8,176539.34,2,baixo,Desenvolvedor Senior,1
PROJ_0124,Portal de Treinamento Plus,2.6,110889.15,2,baixo,Gerente de Desenvolvimento,1
PROJ_0125,Sistema de Gestão Empresarial Pro,6.0,297322.73,3,alto,Gerente de Desenvolvimento,1
PROJ_0126,Sistema de Segurança,6.4,192701.15,2,baixo,Desenvolvedor Senior,0
PROJ_0127,Portal Interno Web,4.0,136905.6,2,baixo,Coordenador de TI,0
PROJ_0128,App de Monitoramento,4.6,115200.05,2,médio,Especialista em Dados,1
PROJ_0129,App de Delivery Advanced,2.7,101125.6,2,baixo,Tech Lead,0
PROJ_0130,Sistema CRM,12.3,422762.2,2,baixo,Desenvolvedor Senior,0
PROJ_0131,App de Delivery Plus,8.4,238183.69,2,alto,Gerente de Desenvolvimento,1
PROJ_0132,Plataforma de Cursos V2,7.2,542077.09,4,médio,Arquiteto de Software,1
PROJ_0133,Sistema Financeiro,8.9,381108.03,3,alto,Gerente de Desenvolvimento,1
PROJ_0134,Plataforma IoT,5.9,308457.98,2,médio,Consultor Técnico,0
PROJ_0135,Plataforma de Cursos,4.8,185265.2,3,baixo,Coordenador de TI,1
PROJ_0136,Sistema de Compras,4.2,136085.86,2,médio,Analista de Sistemas,1
PROJ_0137,Portal de Relatórios,9.8,873769.92,4,baixo,Arquiteto de Software,1
PROJ_0138,App Mobile de Vendas Advanced,2.8,136907.8,2,médio,Tech Lead,0
PROJ_0139,Portal de Documentos,5.5,695022.01,5,alto,Gerente de Desenvolvimento,1
PROJ_0140,Sistema de Manutenção,4.5,111552.39,2,baixo,Coordenador de TI,1
PROJ_0141,App de Monitoramento,7.8,268128.41,2,baixo,Desenvolvedor Senior,0
PROJ_0142,Portal Interno Advanced,6.0,300090.46,2,médio,Gerente de Projetos,0
PROJ_0143,Plataforma de Vendas,3.6,133016.61,2,baixo,Consultor Técnico,1
PROJ_0144,Plataforma IoT,6.8,263236.63,3,alto,Desenvolvedor Senior,1
PROJ_0145,Sistema Financeiro,4.0,199621.86,3,alto,Tech Lead,1
PROJ_0146,Sistema de Manutenção,4.1,248210.0,4,alto,Coordenador de TI,1
PROJ_0147,Portal de Documentos,8.4,485455.74,3,baixo,Consultor Técnico,1
PROJ_0148,Sistema CRM,6.3,270707.94,3,baixo,Tech Lead,1
PROJ_0149,App de Monitoramento,3.4,120198.42,2,alto,Consultor Técnico,1
PROJ_0150,Plataforma E-commerce Web,9.4,446515.7,2,médio,Gerente de Desenvolvimento,0
PROJ_0151,Plataforma IoT,6.7,416388.12,3,médio,Analista de Sistemas,0
PROJ_0152,Sistema de Manutenção,6.8,232820.13,2,alto,Gerente de Desenvolvimento,1
PROJ_0153,Sistema de Produção,3.6,121274.71,2,médio,Arquiteto de Software,1
PROJ_0154,Sistema CRM Mobile,5.5,230540.08,2,médio,Líder Técnico,0
PROJ_0155,App de Atendimento,4.4,144517.85,2,baixo,Especialista em Dados,0
PROJ_0156,Sistema de Qualidade,5.9,296853.41,2,alto,Consultor Técnico,0
PROJ_0157,App de Logística,5.7,427720.79,4,baixo,Analista de Sistemas,0
PROJ_0158,Plataforma IoT Mobile,5.2,227985.94,2,baixo,Líder Técnico,1
PROJ_0159,Plataforma de Cursos Plus,4.9,185372.89,2,médio,Arquiteto de Software,0
PROJ_0160,App de Delivery,8.1,287707.97,2,médio,Analista de Sistemas,0
PROJ_0161,Sistema de Gestão Empresarial Advanced,11.7,487887.96,2,alto,Líder Técnico,1
PROJ_0162,Portal de Treinamento,10.6,977289.28,4,médio,Especialista em Dados,1
PROJ_0163,Portal de Fornecedores,7.6,307239.62,2,baixo,Líder Técnico,1
PROJ_0164,Sistema de RH,7.5,212552.54,2,médio,Gerente de Desenvolvimento,1
PROJ_0165,App de Logística,4.6,92449.82,2,médio,Analista de Sistemas,1
PROJ_0166,App de Atendimento,2.4,112250.57,2,baixo,Coordenador de TI,0
PROJ_0167,App de Comunicação,3.2,127923.95,2,médio,Analista de Sistemas,1
PROJ_0168,Sistema de Segurança,3.1,79071.93,2,baixo,Consultor Técnico,1
PROJ_0169,Sistema de Qualidade Plus,5.4,387906.79,4,baixo,Coordenador de TI,1
PROJ_0170,Sistema de Qualidade Advanced,7.3,837891.74,5,alto,Consultor Técnico,1
PROJ_0171,Sistema de Produção,6.3,446324.12,4,médio,Especialista em Dados,1
PROJ_0172,Sistema de Manutenção,5.9,254644.27,2,médio,Consultor Técnico,0
PROJ_0173,Portal de Fornecedores,4.1,123912.96,2,baixo,Consultor Técnico,1
PROJ_0174,Sistema de Qualidade,5.7,368359.97,3,médio,Especialista em Dados,1
PROJ_0175,Sistema de Qualidade Plus,5.1,184636.98,2,médio,Arquiteto de Software,0
PROJ_0176,App de Comunicação,8.8,373558.76,2,baixo,Especialista em Dados,0
PROJ_0177,App de Atendimento Advanced,4.1,186215.93,2,baixo,Coordenador de TI,1
PROJ_0178,Sistema de Backup Pro,6.5,200629.13,2,alto,Tech Lead,1
PROJ_0179,Plataforma de Cursos,4.6,181047.54,3,alto,Coordenador de TI,1
PROJ_0180,Plataforma E-commerce Advanced,2.6,82615.32,2,médio,Analista de Sistemas,1
PROJ_0181,Sistema de Backup Advanced,3.8,133628.36,2,médio,Gerente de Desenvolvimento,1
PROJ_0182,Plataforma de Cursos,3.0,67259.05,2,alto,Gerente de Desenvolvimento,1
PROJ_0183,App Mobile de Vendas Advanced,6.9,287306.53,2,baixo,Gerente de Desenvolvimento,1
PROJ_0184,Sistema de Compras,6.6,235106.58,2,baixo,Gerente de Projetos,0
PROJ_0185,Portal de Treinamento,3.9,83359.86,2,alto,Líder Técnico,0
PROJ_0186,App de Monitoramento,2.4,99508.36,2,médio,Tech Lead,1
PROJ_0187,Sistema CRM,6.6,298959.61,3,alto,Gerente de Desenvolvimento,1
PROJ_0188,Sistema de Produção,3.3,98524.78,2,alto,Consultor Técnico,0
PROJ_0189,Sistema de Segurança,4.9,532142.75,5,baixo,Desenvolvedor Senior,0
PROJ_0190,App de Logística Advanced,5.2,188397.41,2,médio,Especialista em Dados,1
PROJ_0191,Sistema de Gestão Empresarial,7.4,348260.16,2,médio,Gerente de Desenvolvimento,0
PROJ_0192,Portal de Documentos Advanced,6.3,269017.03,2,alto,Analista de Sistemas,0
PROJ_0193,Sistema de Manutenção,3.5,99501.63,2,médio,Gerente de Desenvolvimento,1
PROJ_0194,Portal de Relatórios,5.7,170508.58,2,médio,Gerente de Projetos,1
PROJ_0195,Portal do Cliente,11.2,1225354.14,6,médio,Analista de Sistemas,1
PROJ_0196,Portal de Treinamento,8.7,258152.19,2,médio,Gerente de Projetos,1
PROJ_0197,Portal Interno,5.3,355017.28,3,alto,Desenvolvedor Senior,1
PROJ_0198,Sistema de Qualidade,7.0,250754.38,2,alto,Gerente de Desenvolvimento,1
PROJ_0199,Portal Interno,6.5,179862.62,2,alto,Gerente de Desenvolvimento,1
PROJ_0200,Portal Interno,5.1,219533.57,3,baixo,Especialista em Dados,1
PROJ_0201,Sistema de Gestão Empresarial,7.8,255641.52,2,médio,Gerente de Projetos,1
PROJ_0202,Sistema Financeiro V2,2.9,126416.28,3,médio,Gerente de Projetos,0
PROJ_0203,App de Comunicação Plus,5.1,129915.47,2,médio,Desenvolvedor Senior,1
PROJ_0204,Plataforma de BI Plus,5.4,174017.66,2,baixo,Desenvolvedor Senior,0
PROJ_0205,Plataforma E-commerce,7.7,280166.49,2,médio,Coordenador de TI,1
PROJ_0206,Portal de Relatórios,6.1,128429.04,2,médio,Especialista em Dados,1
PROJ_0207,Sistema de Backup Pro,6.6,240483.01,2,alto,Analista de Sistemas,1
PROJ_0208,Sistema de Manutenção,2.9,122023.04,2,alto,Coordenador de TI,1
PROJ_0209,App de Comunicação,2.4,59402.94,2,baixo,Arquiteto de Software,0
PROJ_0210,Sistema de Estoque,11.6,302034.15,2,médio,Arquiteto de Software,1
PROJ_0211,Portal de Relatórios,3.8,171172.78,2,médio,Gerente de Desenvolvimento,1
PROJ_0212,App de Monitoramento,2.7,104749.43,2,baixo,Desenvolvedor Senior,0
PROJ_0213,Portal do Cliente,6.9,203999.43,2,médio,Desenvolvedor Senior,0
PROJ_0214,Sistema de Estoque,10.0,388566.13,2,médio,Arquiteto de Software,1
PROJ_0215,Portal de Treinamento,9.5,441731.17,3,alto,Coordenador de TI,1
PROJ_0216,Sistema de Segurança,6.8,232657.93,3,baixo,Gerente de Projetos,1
PROJ_0217,Sistema Financeiro,2.5,86837.1,2,médio,Tech Lead,0
PROJ_0218,Portal do Cliente,6.0,199599.7,2,baixo,Tech Lead,0
PROJ_0219,Sistema de Gestão Empresarial,8.3,379078.98,2,médio,Especialista em Dados,1
PROJ_0220,Sistema de Estoque,3.1,115371.66,2,médio,Tech Lead,1
PROJ_0221,App de Atendimento,5.3,184707.59,2,médio,Especialista em Dados,1
PROJ_0222,Sistema de Backup Plus,4.5,94322.44,2,alto,Consultor Técnico,1
PROJ_0223,App de Atendimento Mobile,5.2,175713.82,2,baixo,Especialista em Dados,0
PROJ_0224,Sistema de Qualidade,6.9,154707.09,2,alto,Líder Técnico,1
PROJ_0225,Portal Interno,5.7,141756.8,2,baixo,Desenvolvedor Senior,1
PROJ_0226,Plataforma de BI,6.2,257867.88,2,alto,Arquiteto de Software,1
PROJ_0227,Sistema de Compras,8.4,235879.11,2,alto,Especialista em Dados,1
PROJ_0228,Portal de Relatórios,4.2,190028.67,2,alto,Gerente de Desenvolvimento,1
PROJ_0229,Plataforma de Cursos Pro,4.1,133343.99,2,baixo,Analista de Sistemas,1
PROJ_0230,App de Logística Pro,3.4,129751.08,2,baixo,Tech Lead,1
PROJ_0231,Portal Interno,4.3,138927.16,2,médio,Arquiteto de Software,1
PROJ_0232,Sistema de Produção Plus,6.1,228949.59,2,médio,Coordenador de TI,1
PROJ_0233,App de Delivery,7.4,312837.85,2,médio,Especialista em Dados,0
PROJ_0234,Sistema de Produção,6.1,234118.45,3,baixo,Especialista em Dados,1
PROJ_0235,App de Atendimento,13.7,767512.74,4,baixo,Especialista em Dados,1
PROJ_0236,Sistema de Segurança Pro,3.7,193069.17,3,médio,Desenvolvedor Senior,1
PROJ_0237,App de Monitoramento,9.4,382677.39,4,alto,Arquiteto de Software,1
PROJ_0238,Plataforma IoT,7.2,346040.41,4,médio,Especialista em Dados,1
PROJ_0239,Sistema de Produção,6.7,831403.87,5,baixo,Gerente de Desenvolvimento,0
PROJ_0240,Portal de Documentos,10.7,1400085.38,6,baixo,Tech Lead,1
PROJ_0241,Sistema de Backup,3.3,143241.52,2,baixo,Arquiteto de Software,1
PROJ_0242,Portal Interno Web,5.9,199395.91,2,alto,Desenvolvedor Senior,1
PROJ_0243,Plataforma de Cursos Mobile,4.9,187559.98,2,alto,Analista de Sistemas,1
PROJ_0244,Sistema de RH Advanced,3.3,173232.59,2,baixo,Arquiteto de Software,1
PROJ_0245,Portal de Documentos,6.5,185577.74,2,alto,Consultor Técnico,1
PROJ_0246,Sistema de Manutenção V2,15.5,1443138.89,6,médio,Desenvolvedor Senior,1
PROJ_0247,Sistema CRM Plus,9.9,536182.59,4,baixo,Arquiteto de Software,1
PROJ_0248,Sistema de Gestão Empresarial,9.9,385912.03,2,médio,Analista de Sistemas,1
PROJ_0249,Portal Interno V2,9.5,252954.58,2,baixo,Consultor Técnico,0
PROJ_0250,Sistema CRM,2.8,98001.19,2,alto,Analista de Sistemas,1
PROJ_0251,App de Atendimento,12.1,632930.52,3,médio,Especialista em Dados,1
PROJ_0252,Sistema de Estoque,9.3,335502.86,2,médio,Líder Técnico,1
PROJ_0253,Sistema CRM,11.1,1307421.32,6,alto,Especialista em Dados,1
PROJ_0254,Plataforma de Cursos V2,5.3,187276.01,3,alto,Arquiteto de Software,1
PROJ_0255,Portal de Treinamento,5.6,282624.75,4,médio,Coordenador de TI,1
PROJ_0256,App de Monitoramento,6.7,353460.68,2,médio,Líder Técnico,1
PROJ_0257,App de Atendimento,9.6,711170.15,4,médio,Analista de Sistemas,1
PROJ_0258,Plataforma E-commerce,3.0,75434.66,2,baixo,Arquiteto de Software,0
PROJ_0259,Portal do Cliente,5.7,225386.82,2,médio,Coordenador de TI,0
PROJ_0260,Sistema de Produção,4.5,150267.95,2,baixo,Líder Técnico,1
PROJ_0261,Sistema de Manutenção,5.3,461053.62,4,baixo,Desenvolvedor Senior,0
PROJ_0262,App de Comunicação,6.5,237167.05,2,baixo,Especialista em Dados,1
PROJ_0263,App de Controle de Acesso,3.5,93006.03,2,alto,Líder Técnico,1
PROJ_0264,Portal de Fornecedores,4.2,154665.54,2,médio,Líder Técnico,1
PROJ_0265,App Mobile de Vendas,7.6,341787.05,2,médio,Coordenador de TI,0
PROJ_0266,App de Comunicação Plus,5.1,239303.86,2,baixo,Arquiteto de Software,0
PROJ_0267,Plataforma IoT Plus,6.2,287308.51,2,médio,Analista de Sistemas,1
PROJ_0268,Sistema de Produção V2,4.3,184418.93,2,médio,Gerente de Desenvolvimento,1
PROJ_0269,Sistema de Qualidade,6.6,391459.6,3,baixo,Especialista em Dados,1
PROJ_0270,Sistema CRM Pro,3.0,134036.65,2,médio,Arquiteto de Software,1
PROJ_0271,Sistema de Backup,7.2,702415.89,5,médio,Coordenador de TI,1
PROJ_0272,Plataforma IoT Pro,4.0,102375.98,2,alto,Líder Técnico,1
PROJ_0273,Plataforma IoT,6.2,234759.55,2,médio,Desenvolvedor Senior,0
PROJ_0274,Portal de Fornecedores Plus,5.2,183465.56,2,baixo,Analista de Sistemas,0
PROJ_0275,App de Controle de Acesso Plus,4.3,251615.8,3,médio,Coordenador de TI,1
PROJ_0276,App Mobile de Vendas Pro,6.4,499971.3,4,alto,Líder Técnico,1
PROJ_0277,Portal de Documentos,6.7,234709.7,2,alto,Arquiteto de Software,1
PROJ_0278,Sistema de Qualidade Web,4.1,133201.99,2,médio,Arquiteto de Software,1
PROJ_0279,Sistema de Backup,5.4,316866.13,3,médio,Arquiteto de Software,1
PROJ_0280,Plataforma de Vendas,3.1,112054.89,2,alto,Especialista em Dados,1
PROJ_0281,Portal do Cliente,5.9,279570.07,2,médio,Gerente de Desenvolvimento,0
PROJ_0282,Portal de Documentos,4.6,145961.88,2,médio,Arquiteto de Software,1
PROJ_0283,Sistema de Gestão Empresarial Web,3.4,118118.71,2,baixo,Líder Técnico,1
PROJ_0284,Portal de Relatórios,3.9,154036.15,2,médio,Arquiteto de Software,1
PROJ_0285,Portal de Relatórios Plus,6.5,185443.19,2,médio,Especialista em Dados,0
PROJ_0286,Plataforma de Vendas,4.4,138915.28,2,médio,Arquiteto de Software,1
PROJ_0287,Dashboard Analytics,3.4,109630.57,2,alto,Gerente de Desenvolvimento,1
PROJ_0288,App de Atendimento,7.6,390625.46,3,médio,Coordenador de TI,1
PROJ_0289,App de Logística,5.0,214712.17,2,médio,Tech Lead,0
PROJ_0290,Plataforma de Cursos,4.9,226134.75,2,baixo,Analista de Sistemas,0
PROJ_0291,Plataforma de Cursos,6.8,224515.89,2,alto,Especialista em Dados,1
PROJ_0292,Sistema CRM,8.2,293300.7,2,alto,Gerente de Desenvolvimento,1
PROJ_0293,Plataforma de BI,4.8,149537.88,2,médio,Gerente de Projetos,1
PROJ_0294,Sistema de Qualidade Pro,8.8,431325.04,2,médio,Tech Lead,0
PROJ_0295,Sistema de Estoque,5.1,130290.4,2,alto,Gerente de Desenvolvimento,1
PROJ_0296,Portal de Treinamento,3.8,117588.99,2,baixo,Gerente de Projetos,0
PROJ_0297,Plataforma IoT,8.5,462295.84,3,médio,Especialista em Dados,1
PROJ_0298,Portal de Fornecedores Mobile,10.8,676754.13,3,médio,Tech Lead,1
PROJ_0299,Sistema de Manutenção,11.6,678758.64,4,médio,Especialista em Dados,1
PROJ_0300,App de Comunicação Pro,6.6,262117.45,2,médio,Consultor Técnico,1
PROJ_0301,Plataforma E-commerce,3.8,81186.33,2,baixo,Especialista em Dados,0
PROJ_0302,Sistema de Compras,4.8,161259.48,2,baixo,Coordenador de TI,1
PROJ_0303,Sistema de Gestão Empresarial,4.6,166499.31,2,baixo,Líder Técnico,0
PROJ_0304,Sistema de Segurança Plus,3.7,91599.95,2,médio,Arquiteto de Software,0
PROJ_0305,Sistema de Produção Advanced,5.2,164782.33,2,alto,Coordenador de TI,1
PROJ_0306,App de Delivery,2.8,139206.45,2,baixo,Coordenador de TI,0
PROJ_0307,Sistema de Qualidade,4.1,154840.9,3,médio,Analista de Sistemas,1
PROJ_0308,App de Logística,8.2,434814.87,5,médio,Arquiteto de Software,0
PROJ_0309,Plataforma de Vendas,4.2,123149.39,2,médio,Gerente de Desenvolvimento,0
PROJ_0310,Plataforma de BI,10.5,646859.62,4,baixo,Especialista em Dados,1
